Level,Contribution,Zeny,MAXHP,ATK,MATK,DEF,MDEF,CashCoupons,Remainder
1,34,410,10,0.4,0.4,0.2,0.2,0,410
2,34,1240,10,0.4,0.4,0.2,0.2,0,1240
3,34,2080,10,0.4,0.4,0.2,0.2,1,80
4,34,2910,10,0.4,0.4,0.2,0.2,1,910
5,34,3740,10,0.4,0.4,0.2,0.2,1,1740
6,34,4570,10,0.4,0.4,0.2,0.2,2,570
7,34,5410,10,0.4,0.4,0.2,0.2,2,1410
8,34,6240,10,0.4,0.4,0.2,0.2,3,240
9,34,7070,10,0.4,0.4,0.2,0.2,3,1070
10,34,7900,10,0.4,0.4,0.2,0.2,3,1900
11,36,1240,18,0.7,0.7,0.4,0.4,0,1240
12,36,3740,18,0.7,0.7,0.4,0.4,1,1740
13,36,6240,18,0.7,0.7,0.4,0.4,3,240
14,36,8740,18,0.7,0.7,0.4,0.4,4,740
15,36,11230,18,0.7,0.7,0.4,0.4,5,1230
16,36,13730,18,0.7,0.7,0.4,0.4,6,1730
17,36,16230,18,0.7,0.7,0.4,0.4,8,230
18,36,18730,18,0.7,0.7,0.4,0.4,9,730
19,36,21230,18,0.7,0.7,0.4,0.4,10,1230
20,36,23720,18,0.7,0.7,0.4,0.4,11,1720
21,42,2490,28,1.1,1.1,0.5,0.5,1,490
22,42,7490,28,1.1,1.1,0.5,0.5,3,1490
23,42,12480,28,1.1,1.1,0.5,0.5,6,480
24,42,17480,28,1.1,1.1,0.5,0.5,8,1480
25,42,22470,28,1.1,1.1,0.5,0.5,11,470
26,42,27470,28,1.1,1.1,0.5,0.5,13,1470
27,42,32470,28,1.1,1.1,0.5,0.5,16,470
28,42,37460,28,1.1,1.1,0.5,0.5,18,1460
29,42,42460,28,1.1,1.1,0.5,0.5,21,460
30,42,47450,28,1.1,1.1,0.5,0.5,23,1450
31,80,4160,38,1.5,1.5,0.7,0.7,2,160
32,80,12480,38,1.5,1.5,0.7,0.7,6,480
33,80,20810,38,1.5,1.5,0.7,0.7,10,810
34,80,29130,38,1.5,1.5,0.7,0.7,14,1130
35,80,37460,38,1.5,1.5,0.7,0.7,18,1460
36,80,45790,38,1.5,1.5,0.7,0.7,22,1790
37,80,54110,38,1.5,1.5,0.7,0.7,27,110
38,80,62440,38,1.5,1.5,0.7,0.7,31,440
39,80,70760,38,1.5,1.5,0.7,0.7,35,760
40,80,79090,38,1.5,1.5,0.7,0.7,39,1090
41,152,6240,45,1.8,1.8,0.9,0.9,3,240
42,152,18730,45,1.8,1.8,0.9,0.9,9,730
43,152,31220,45,1.8,1.8,0.9,0.9,15,1220
44,152,43710,45,1.8,1.8,0.9,0.9,21,1710
45,152,56190,45,1.8,1.8,0.9,0.9,28,190
46,152,68680,45,1.8,1.8,0.9,0.9,34,680
47,152,81170,45,1.8,1.8,0.9,0.9,40,1170
48,152,93660,45,1.8,1.8,0.9,0.9,46,1660
49,152,106150,45,1.8,1.8,0.9,0.9,53,150
50,152,118640,45,1.8,1.8,0.9,0.9,59,640
51,284,8740,55,2.2,2.2,1.1,1.1,4,740
52,284,26220,55,2.2,2.2,1.1,1.1,13,220
53,284,43710,55,2.2,2.2,1.1,1.1,21,1710
54,284,61190,55,2.2,2.2,1.1,1.1,30,1190
55,284,78670,55,2.2,2.2,1.1,1.1,39,670
56,284,96160,55,2.2,2.2,1.1,1.1,48,160
57,284,113640,55,2.2,2.2,1.1,1.1,56,1640
58,284,131130,55,2.2,2.2,1.1,1.1,65,1130
59,284,148610,55,2.2,2.2,1.1,1.1,74,610
60,284,166090,55,2.2,2.2,1.1,1.1,83,90
61,450,11650,63,2.5,2.5,1.3,1.3,5,1650
62,450,34960,63,2.5,2.5,1.3,1.3,17,960
63,450,58280,63,2.5,2.5,1.3,1.3,29,280
64,450,81590,63,2.5,2.5,1.3,1.3,40,1590
65,450,104900,63,2.5,2.5,1.3,1.3,52,900
66,450,128210,63,2.5,2.5,1.3,1.3,64,210
67,450,151520,63,2.5,2.5,1.3,1.3,75,1520
68,450,174840,63,2.5,2.5,1.3,1.3,87,840
69,450,198150,63,2.5,2.5,1.3,1.3,99,150
70,450,221460,63,2.5,2.5,1.3,1.3,110,1460
71,588,14980,73,2.9,2.9,1.5,1.5,7,980
72,588,44950,73,2.9,2.9,1.5,1.5,22,950
73,588,74930,73,2.9,2.9,1.5,1.5,37,930
74,588,104900,73,2.9,2.9,1.5,1.5,52,900
75,588,134870,73,2.9,2.9,1.5,1.5,67,870
76,588,164850,73,2.9,2.9,1.5,1.5,82,850
77,588,194820,73,2.9,2.9,1.5,1.5,97,820
78,588,224790,73,2.9,2.9,1.5,1.5,112,790
79,588,254760,73,2.9,2.9,1.5,1.5,127,760
80,588,284740,73,2.9,2.9,1.5,1.5,142,740
81,728,18730,83,3.3,3.3,1.6,1.6,9,730
82,728,56190,83,3.3,3.3,1.6,1.6,28,190
83,728,93660,83,3.3,3.3,1.6,1.6,46,1660
84,728,131130,83,3.3,3.3,1.6,1.6,65,1130
85,728,168590,83,3.3,3.3,1.6,1.6,84,590
86,728,206060,83,3.3,3.3,1.6,1.6,103,60
87,728,243520,83,3.3,3.3,1.6,1.6,121,1520
88,728,280990,83,3.3,3.3,1.6,1.6,140,990
89,728,318460,83,3.3,3.3,1.6,1.6,159,460
90,728,355920,83,3.3,3.3,1.6,1.6,177,1920
91,728,24970,90,3.6,3.6,1.8,1.8,12,970
92,728,74930,90,3.6,3.6,1.8,1.8,37,930
93,728,124880,90,3.6,3.6,1.8,1.8,62,880
94,728,174840,90,3.6,3.6,1.8,1.8,87,840
95,728,224790,90,3.6,3.6,1.8,1.8,112,790
96,728,274750,90,3.6,3.6,1.8,1.8,137,750
97,728,324700,90,3.6,3.6,1.8,1.8,162,700
98,728,374660,90,3.6,3.6,1.8,1.8,187,660
99,728,424610,90,3.6,3.6,1.8,1.8,212,610
100,728,474560,90,3.6,3.6,1.8,1.8,237,560
101,728,33300,100,4,4,2,2,16,1300
102,728,99900,100,4,4,2,2,49,1900
103,728,166510,100,4,4,2,2,83,510
104,728,233120,100,4,4,2,2,116,1120
105,728,299720,100,4,4,2,2,149,1720
106,728,366330,100,4,4,2,2,183,330
107,728,432940,100,4,4,2,2,216,940
108,728,499540,100,4,4,2,2,249,1540
109,728,566150,100,4,4,2,2,283,150
110,728,632750,100,4,4,2,2,316,750
111,728,43710,112,4.5,4.5,2.2,2.2,21,1710
112,728,131130,112,4.5,4.5,2.2,2.2,65,1130
113,728,218550,112,4.5,4.5,2.2,2.2,109,550
114,728,305970,112,4.5,4.5,2.2,2.2,152,1970
115,728,393390,112,4.5,4.5,2.2,2.2,196,1390
116,728,480810,112,4.5,4.5,2.2,2.2,240,810
117,728,568230,112,4.5,4.5,2.2,2.2,284,230
118,728,655650,112,4.5,4.5,2.2,2.2,327,1650
119,728,743070,112,4.5,4.5,2.2,2.2,371,1070
120,728,830490,112,4.5,4.5,2.2,2.2,415,490
121,728,55360,125,5,5,2.5,2.5,27,1360
122,728,166090,125,5,5,2.5,2.5,83,90
123,728,276830,125,5,5,2.5,2.5,138,830
124,728,387560,125,5,5,2.5,2.5,193,1560
125,728,498290,125,5,5,2.5,2.5,249,290
126,728,609030,125,5,5,2.5,2.5,304,1030
127,728,719760,125,5,5,2.5,2.5,359,1760
128,728,830490,125,5,5,2.5,2.5,415,490
129,728,941220,125,5,5,2.5,2.5,470,1220
130,728,1051960,125,5,5,2.5,2.5,525,1960
131,728,68680,138,5.5,5.5,2.8,2.8,34,680
132,728,206060,138,5.5,5.5,2.8,2.8,103,60
133,728,343430,138,5.5,5.5,2.8,2.8,171,1430
134,728,480810,138,5.5,5.5,2.8,2.8,240,810
135,728,618180,138,5.5,5.5,2.8,2.8,309,180
136,728,755560,138,5.5,5.5,2.8,2.8,377,1560
137,728,892930,138,5.5,5.5,2.8,2.8,446,930
138,728,1030310,138,5.5,5.5,2.8,2.8,515,310
139,728,1167680,138,5.5,5.5,2.8,2.8,583,1680
140,728,1305060,138,5.5,5.5,2.8,2.8,652,1060
141,728,83250,150,6,6,3,3,41,1250
142,728,249770,150,6,6,3,3,124,1770
143,728,416280,150,6,6,3,3,208,280
144,728,582800,150,6,6,3,3,291,800
145,728,749310,150,6,6,3,3,374,1310
146,728,915830,150,6,6,3,3,457,1830
147,728,1082350,150,6,6,3,3,541,350
148,728,1248860,150,6,6,3,3,624,860
149,728,1415380,150,6,6,3,3,707,1380
150,728,1581890,150,6,6,3,3,790,1890
